INDV	O(HOM)	E(HOM)	N_SITES	F
C3_2	3141	2970.4	4444	0.11576
C3_10	3195	2970.4	4444	0.15241
C3_11	3138	2970.4	4444	0.11373
C5_4	3159	2970.4	4444	0.12798
C3_9	3104	2970.4	4444	0.09066
C1_1	3129	2970.4	4444	0.10762
C4_3	3091	2970.4	4444	0.08183
C3_7	3117	2970.4	4444	0.09948
C3_18	3126	2970.4	4444	0.10559
C5_8	3176	2970.4	4444	0.13952
C5_7	3143	2970.4	4444	0.11712
C3_3	3123	2970.4	4444	0.10355
C3_4	3143	2970.4	4444	0.11712
C4_1	3148	2970.4	4444	0.12051
C5_5	3230	2970.4	4444	0.17616
C5_1	3103	2970.4	4444	0.08998
C4_2	3118	2970.4	4444	0.10016
C3_15	3234	2970.4	4444	0.17888
C1_4	3225	2970.4	4444	0.17277
C3_16	3171	2970.4	4444	0.13612
C4_4	3210	2970.4	4444	0.16259
C3_1	3111	2970.4	4444	0.09541
C3_20	3191	2970.4	4444	0.14970
C3_14	3090	2970.4	4444	0.08115
C5_6	3223	2970.4	4444	0.17141
C3_17	3136	2970.4	4444	0.11237
C3_6	3121	2970.4	4444	0.10219
C3_22	3166	2970.4	4444	0.13273
C3_12	3181	2970.4	4444	0.14291
C5_2	3188	2970.4	4444	0.14766
C3_21	3149	2970.4	4444	0.12119
C2_1	3157	2970.4	4444	0.12662
C1_7	3252	2970.4	4444	0.19109
C3_19	3169	2970.4	4444	0.13477
C3_5	3199	2970.4	4444	0.15512
C5_3	3136	2970.4	4444	0.11237
C3_13	3118	2970.4	4444	0.10016
C1_6	3208	2970.4	4444	0.16123
