INDV	O(HOM)	E(HOM)	N_SITES	F
N3_14	2702	2752.0	4240	-0.03360
N4_8	2351	2752.0	4240	-0.26949
N4_10	2400	2752.0	4240	-0.23656
N5_12	2941	2752.0	4240	0.12701
N7_11	2996	2752.0	4240	0.16398
N6_14	2993	2752.0	4240	0.16196
N4_11	2354	2752.0	4240	-0.26748
N4_9	2606	2752.0	4240	-0.09812
N3_20.bis	2372	2752.0	4240	-0.25538
N6_20	2994	2752.0	4240	0.16263
N4_25	2984	2752.0	4240	0.15591
N7_2	2986	2752.0	4240	0.15726
N2_22.bis	2425	2752.0	4240	-0.21976
N3_24	2553	2752.0	4240	-0.13374
N4_23	3003	2752.0	4240	0.16868
N3_18.bis	2322	2752.0	4240	-0.28898
N6_24	2968	2752.0	4240	0.14516
N4_16	2940	2752.0	4240	0.12634
N3_27	2021	2752.0	4240	-0.49127
N6_16	2940	2752.0	4240	0.12634
N4_3	2038	2752.0	4240	-0.47984
N4_15	2943	2752.0	4240	0.12836
N4_21.bis	2906	2752.0	4240	0.10349
N7_1	2977	2752.0	4240	0.15121
N5_14	3032	2752.0	4240	0.18817
N3_30	2090	2752.0	4240	-0.44490
N2_2	2611	2752.0	4240	-0.09476
N4_27	3050	2752.0	4240	0.20027
N2_19.bis	2210	2752.0	4240	-0.36425
N3_17.bis	2319	2752.0	4240	-0.29100
N7_18	2984	2752.0	4240	0.15591
N5_5	2924	2752.0	4240	0.11559
N6_3	2927	2752.0	4240	0.11761
N5_9	2954	2752.0	4240	0.13575
N4_4	2310	2752.0	4240	-0.29705
N3_11.bis	2273	2752.0	4240	-0.32191
N2_5	2383	2752.0	4240	-0.24799
N2_12	2489	2752.0	4240	-0.17675
N7_6	2965	2752.0	4240	0.14314
N6_26	3022	2752.0	4240	0.18145
N4_28	2920	2752.0	4240	0.11290
N6_11	2960	2752.0	4240	0.13978
N6_22	3011	2752.0	4240	0.17406
N5_6	2961	2752.0	4240	0.14046
N2_8	2237	2752.0	4240	-0.34611
N4_24	2952	2752.0	4240	0.13441
N2_24.bis	2423	2752.0	4240	-0.22110
N3_4	2208	2752.0	4240	-0.36559
N6_7	3020	2752.0	4240	0.18011
N7_4	2971	2752.0	4240	0.14718
N5_10	2985	2752.0	4240	0.15658
N3_9.bis	2189	2752.0	4240	-0.37836
N3_25	1999	2752.0	4240	-0.50605
N6_25.bis	2901	2752.0	4240	0.10013
N4_13	2593	2752.0	4240	-0.10686
N6_13	3013	2752.0	4240	0.17540
N6_18	3013	2752.0	4240	0.17540
N4_5	1931	2752.0	4240	-0.55175
N2_10	2341	2752.0	4240	-0.27621
N6_2	2991	2752.0	4240	0.16062
N3_1.bis	2075	2752.0	4240	-0.45498
N2_16	2110	2752.0	4240	-0.43145
N3_31	2005	2752.0	4240	-0.50202
N3_5	1939	2752.0	4240	-0.54637
N3_15.bis	2148	2752.0	4240	-0.40592
N7_16	3037	2752.0	4240	0.19153
N3_6.bis	1965	2752.0	4240	-0.52890
N5_2	2977	2752.0	4240	0.15121
N5_15	2942	2752.0	4240	0.12769
N7_5	2990	2752.0	4240	0.15994
N3_2.bis	2079	2752.0	4240	-0.45229
N7_17	3010	2752.0	4240	0.17339
N6_30	2956	2752.0	4240	0.13709
N4_12	2399	2752.0	4240	-0.23723
N2_17	2501	2752.0	4240	-0.16869
N4_6	2215	2752.0	4240	-0.36089
N4_14	2624	2752.0	4240	-0.08602
N4_1	1976	2752.0	4240	-0.52151
N6_12	3074	2752.0	4240	0.21640
N2_14	2464	2752.0	4240	-0.19355
N5_4	2932	2752.0	4240	0.12097
N5_13	2970	2752.0	4240	0.14650
N5_11	3000	2752.0	4240	0.16666
N7_12	2979	2752.0	4240	0.15255
