stock	site	ind	L	l	e	sex
E	E1	1	12.3	13.1	2.8	I
E	E1	2	12	11.1	2.8	M
E	E1	3	13	11.4	2.8	M
E	E1	4	11.1	10.9	3.1	M
E	E1	5	11.6	11	2.7	I
E	E1	6	13.3	12	3.2	M
E	E1	7	9.1	8.2	2.6	M
E	E1	8	11.5	11.6	2.8	M
E	E1	9	8.4	8.1	2.3	M
E	E1	10	8.9	6.8	1.6	M
E	E1	11	12.3	10.4	3.1	M
E	E1	12	12.4	13.1	3	I
E	E1	13	13.5	13.8	3.7	I
E	E1	14	9.5	9	2.4	M
E	E1	15	13.1	12.5	3.7	I
E	E1	16	12.3	11.5	3.2	M
E	E1	17	9	11.1	3.2	I
E	E1	18	12.4	10.9	3.1	M
E	E1	19	8.5	8.7	2.1	M
E	E1	20	7.7	7.9	1.2	M
E	E1	21	11.3	9.5	3.1	M
E	E1	22	12.5	11.4	2.5	M
E	E1	23	10.2	9.4	2.9	I
E	E1	24	11.4	9.1	3.4	I
E	E1	25	14.3	11.6	3.8	M
E	E1	26	13.5	12.6	3.4	I
E	E1	27	12.5	12	3.1	I
E	E1	28	14.1	12	3.2	M
E	E1	29	12.4	12	3.2	M
E	E1	30	13.2	11.5	3	M
E	E2	1	13.5	13.5	3.4	M
E	E2	3	9.2	9.6	2.6	M
E	E2	4	12.7	12.5	3.4	M
E	E2	5	10	9.7	2.7	M
E	E2	11	14.1	11.9	4.3	M
E	E2	12	9.6	8.1	2.4	M
E	E2	13	9.7	9.4	3.2	M
E	E2	14	9.7	8.4	2.8	M
E	E2	15	11.1	10.2	2.6	I
E	E2	16	9.3	8.9	2.9	M
E	E2	17	10.2	10.2	2.8	M
E	E2	18	9.6	9.8	2.8	M
E	E2	19	9.1	8.8	2.4	M
E	E2	20	9.6	9.2	3	M
E	E2	21	10.7	10.4	3.1	I
E	E2	22	10.2	9.2	9.2	F
E	E2	23	9.9	9.4	2.4	M
E	E2	24	10.5	9.9	2.7	I
E	E2	25	9.1	8.9	2.5	M
E	E2	26	9.7	7.8	2.4	I
E	E2	28	9.9	10.7	2.6	I
E	E2	29	10.2	9.2	2.9	I
E	E2	30	9.1	9.7	2.3	I
E	E2	31	9.5	8.5	2.6	M
E	E2	32	10.2	10	3	M
E	E2	33	8.6	7.7	2.7	M
E	E2	34	9.7	10	2.5	M
E	E2	35	9.8	9	2.6	M
E	E2	36	9.7	9.6	2.2	M
E	E2	37	9.3	9	2.4	M
E	E2	38	9.7	9.2	2.6	M
E	E2	39	10.2	9.2	2.5	M
E	E2	40	8.3	8	2.4	M
E	E2	41	9.2	8.1	2.4	I
E	E2	42	9.4	9.5	2.7	M
E	E3	1	8	8.5	2.4	M
E	E3	2	10	11	2.2	M
E	E3	3	9.2	9.4	2.5	M
E	E3	4	9.5	9.4	2.3	M
E	E3	5	10.2	9.5	2.7	M
E	E3	6	8.6	7.9	2.7	M
E	E3	7	7.9	7.8	2.4	M
E	E3	8	9	8.1	2.4	M
E	E3	9	7.7	6.7	2.3	M
E	E3	10	8	7.8	2.4	M
E	E3	11	8.3	7.6	2.4	M
E	E3	12	8.6	7.5	2.3	M
E	E3	13	7.1	7.2	2.4	M
E	E3	14	8.3	7.5	2.2	M
E	E3	15	7.4	8.2	2.1	M
E	E3	16	8.5	8.4	2.3	M
E	E3	17	7.9	6.8	2.3	M
E	E3	18	7.7	7.9	2.3	M
E	E3	19	8	7.3	2.3	M
E	E3	20	7.9	7.6	2.1	M
E	E3	21	7.8	6.6	2.2	M
E	E3	22	7.4	6.8	2.2	I
E	E3	23	7.5	6.9	2.3	M
E	E3	24	6.4	6.1	2.1	I
E	E3	25	7.6	7.9	2.4	M
E	E3	26	7.9	7.8	2.5	M
E	E3	27	7.6	7.4	2.5	M
E	E3	28	7.6	6.7	2.3	M
E	E3	29	8	7.7	2.2	M
E	E4	1	14.5	14	5.1	M
E	E4	2	19	16.5	4.5	F
E	E4	3	17	15	4.2	M
E	E4	4	15	14.2	3.5	F
E	E4	5	15.5	13.5	4.5	F
E	E4	6	14	13	4.3	M
E	E4	7	15	14	3.9	M
E	E4	8	14.5	15	4.9	M
E	E4	9	14	12.5	4.3	M
E	E4	10	13	13	3.9	M
E	E4	11	14	13	4.3	M
E	E4	12	11	12.5	4.4	M
E	E4	13	13.5	13	4.8	F
E	E4	14	16	16	4.9	M
E	E4	15	17.5	16	4.5	F
E	E4	16	15	14	3.9	F
E	E4	17	18	16	4.4	M
E	E4	18	17	16.5	5.2	M
E	E4	19	17	16	4.6	M
E	E4	20	15	14	3.7	F
E	E4	21	15	13	3.5	M
E	E4	22	15	13.5	3.5	M
E	E4	23	13.5	12.5	4.1	M
E	E4	24	13	12	3.6	M
E	E5	1	15	15.5	5	F
E	E5	2	14.5	15	4.5	M
E	E5	3	15	13	4.1	M
E	E5	4	17	14.5	4.2	F
E	E5	5	16	14	4.7	F
E	E5	6	17	15.5	4.4	F
E	E5	7	15	13.5	5.1	F
E	E5	8	16	14	4.6	F
E	E5	9	17	15	4.2	F
E	E5	10	15.5	13.5	4.4	F
E	E5	11	16.5	15.5	4.5	F
E	E5	12	14	13	5.5	M
E	E5	13	15	14	4.4	M
E	E5	14	14.3	11.9	4.5	M
E	E5	15	13.5	11.7	4.3	M
E	E5	16	14.6	11.8	4	M
E	E5	17	16.2	14.3	4.2	I
E	E5	18	13.3	12.4	3.7	M
E	E5	19	14.2	12.7	4.2	M
E	E5	20	15	14.8	4	F
E	E5	21	13	12.2	4.6	F
E	E5	22	13.2	11.6	3.9	M
E	E5	23	13	12.9	4	M
E	E5	24	13.6	12.7	4.2	M
E	E5	25	14.1	13.3	4	M
E	E5	26	14.3	14.2	4.2	I
E	E5	27	13.6	12.4	3.2	M
E	E5	28	14.7	13	3.9	M
E	E5	29	15.7	12.4	3.8	F
E	E5	30	13.6	12.8	3.9	I
E	E6	1	13.1	11.9	3.2	M
E	E6	2	13	12.2	3.5	M
E	E6	3	12.9	12.1	3.5	F
E	E6	4	12.2	12	3.8	M
E	E6	5	12.9	10.8	3.5	M
E	E6	6	13.6	12.9	3.9	F
E	E6	7	13.4	12.4	3.5	M
E	E6	8	13.4	12	3.3	M
E	E6	9	12.4	11.4	3.5	M
E	E6	10	12	10.9	3.2	I
E	E6	11	11.8	10.6	3.1	M
E	E6	12	13.2	12.1	3.1	M
E	E6	13	13.4	12.2	2.9	M
E	E6	14	12.5	11.2	3.3	M
E	E6	15	13.7	12.1	3.3	M
S	S1	1	13.4	10.2	3	F
S	S2	1	16.9	14.5	4.3	F
S	S2	2	13.5	12.1	3.5	F
S	S2	3	14.2	11.1	3.1	F
S	S2	4	13.9	10.9	3.2	M
S	S2	5	15.5	14.2	3.6	F
S	S2	6	21.1	17.5	5.1	M
S	S2	7	17.4	13.8	4.1	I
S	S2	8	14.9	12.4	3.9	M
S	S2	9	15.5	11.1	4	M
S	S2	10	12.9	9.9	3	M
S	S2	11	14.6	12.3	4.2	I 
S	S2	12	15.2	13.4	4.1	I 
S	S2	13	18.1	14.4	3.9	I
S	S2	14	14.5	13.5	3.3	M
S	S2	15	14.3	12.2	3.7	M
S	S2	16	13.1	11.4	3.3	F
S	S2	17	20.4	16.1	4.9	F
S	S2	18	16.3	14.4	2.9	M
S	S2	19	15.5	11.4	3.9	M
S	S2	20	18.5	13.4	4.2	F
S	S2	21	11.2	11.5	3.6	M
S	S2	22	15.8	12.7	3.8	I
S	S2	23	17.4	15.9	4.5	F
S	S2	24	14.5	14.3	3.6	F
S	S2	25	15.4	10.6	2.8	M
S	S2	26	15.7	13.5	3.6	F
S	S3	1	14.3	12.5	2.9	M
S	S3	2	16.9	14.4	3.2	F
S	S3	3	16.8	15.8	3.6	F
S	S3	4	18.1	14.3	3.9	F
S	S3	5	15.4	12.9	3.9	F
S	S3	6	19.6	15.1	4.6	M
S	S3	7	18.3	16.4	4.2	F
S	S3	8	16.4	13.4	3.9	F
S	S3	9	18.7	14.3	3.7	F
S	S3	10	12.8	11.4	3.2	M
S	S3	11	14.2	11.3	3.5	F
S	S3	12	17.8	15.5	4.1	F
S	S3	13	15.4	13.2	4.4	I
S	S3	14	15.9	12.4	3.6	M
S	S3	15	20.1	16.7	3.9	F
S	S3	16	17.8	15.1	4.1	F
S	S3	17	14.3	11.9	3.9	M
S	S3	18	15.2	13.2	4.8	F
S	S3	19	15.1	14.3	3.4	F
S	S3	20	16.1	13.6	4.3	F
S	S3	21	15.2	13.6	3.9	F
S	S3	22	18.2	13.1	4.2	F
S	S3	23	13.9	12.1	3.4	F
S	S3	24	16.9	13.6	4.1	F
S	S3	25	10.8	10.6	3.3	I
S	S3	26	15.4	15.8	3.8	M
S	S3	27	12.5	13.4	3.6	M
S	S3	28	13.7	12.3	3.8	M
S	S3	29	18.4	16.6	4.4	F
S	S3	30	17.1	14.5	4.6	F
S	S3	31	9.7	8.5	2.6	M
S	S4	1	16.1	13.5	4.1	F
S	S4	2	16.1	16.2	4.9	F
S	S4	3	14.7	13.3	3.7	M
S	S4	4	13.9	13.1	3.4	M
S	S4	5	13.7	11.5	3.3	M
S	S4	6	17.3	14.3	4.3	M
S	S4	7	14.1	13.6	4.1	F
S	S4	8	14.3	14.5	3.9	I
S	S4	9	16.7	15.9	4.5	F
S	S4	10	15.8	12.5	3.9	I
S	S4	11	15.1	12.4	3.6	F
S	S4	12	17.1	14.2	4.2	M
S	S4	13	15.8	13.6	3.6	F
S	S4	14	14.9	10.3	3.4	M
S	S4	15	14.2	12.2	2.9	M
S	S4	16	13.2	13.4	3.3	F
S	S4	17	15.9	12.5	3.5	F
S	S4	18	16.2	14.6	4.7	F
S	S4	19	12.4	12.3	3.6	M
S	S4	20	16.5	12.5	4	M
S	S4	21	14.7	11.5	2.9	F
S	S4	22	13.1	11.9	4.1	M
S	S4	23	12.9	12.1	3.8	M
S	S4	24	13.2	11.4	4.3	F
S	S4	25	12.9	11.4	3.9	I
